16.703 2096100
19.5107 2096440
19.5107 0
19.5107 340
21.5818 0
21.5818 340
23.679 0
23.679 340
25.7762 0
25.7762 340
27.8734 0
27.8734 340
29.9706 0
29.9706 340
32.0678 0
32.0678 340
34.1651 0
34.1651 340
36.2623 0
36.2623 340
38.3595 0
38.3595 340
40.4567 0
40.4567 340
42.5539 0
42.5539 340
44.6511 0
44.6511 340
46.7483 0
46.7483 340
48.8456 0
48.8456 340
50.9428 0
50.9428 340
53.04 0
53.04 340
55.1372 0
55.1372 340
57.2344 0
57.2344 340
59.3316 0
59.3316 340
61.4288 0
61.4288 340
63.5261 0
63.5261 340
65.6233 0
65.6233 340
67.7205 0
67.7205 340
69.8177 0
69.8177 340
71.9149 0
71.9149 340
74.0121 0
74.0121 340
76.1093 0
76.1093 340
78.2066 0
78.2066 340
80.3038 0
80.3038 340
82.401 0
82.401 340
84.4982 0
84.4982 340
86.5954 0
86.5954 340
88.6926 0
88.6926 340
90.7898 0
90.7898 340
92.8871 0
92.8871 340
94.9843 0
94.9843 340
97.0815 0
97.0815 340
99.1787 0
99.1787 340
